Station,Date,Time,Latitude,Longitude,Depth,Gear,Action,Comment
PS114_3-1,2018-07-16,10:05,79.02285,4.40069,2452,MOOR,retrieval_start,HG-IV-SWIPS-2017
PS114_3-1,2018-07-16,12:12,79.01582,4.34218,2494,MOOR,retrieval_end,HG-IV-SWIPS-2017
PS114_4-1,2018-07-16,12:39,79.02356,4.33284,2476,CTDOZE,station_start,
PS114_4-1,2018-07-16,12:58,79.02359,4.33352,2476,CTDOZE,at_depth,
PS114_4-1,2018-07-16,13:29,79.02371,4.33221,2476,CTDOZE,station_end,
PS114_4-2,2018-07-16,13:43,79.02309,4.33194,2479,LOKI,station_start,
PS114_4-2,2018-07-16,14:24,79.02305,4.33174,2479,LOKI,at_depth,
PS114_4-2,2018-07-16,15:05,79.02371,4.32922,2478,LOKI,station_end,
PS114_4-3,2018-07-16,15:25,79.02351,4.33297,2477,CTDOZE,station_start,
PS114_4-3,2018-07-16,15:38,79.02336,4.33042,2479,CTDOZE,at_depth,
PS114_4-3,2018-07-16,15:57,79.02356,4.33462,2475,CTDOZE,station_end,
PS114_4-4,2018-07-16,17:07,79.0236,4.33423,2475,CTDOZE,station_start,
PS114_4-4,2018-07-16,17:12,79.02377,4.33511,2474,CTDOZE,at_depth,
PS114_4-4,2018-07-16,17:21,79.02322,4.33323,2477,CTDOZE,station_end,
PS114_4-5,2018-07-16,17:30,79.02336,4.33124,2478,MN_S5,station_start,
PS114_4-5,2018-07-16,18:34,79.02333,4.33368,2476,MN_S5,at_depth,
PS114_4-5,2018-07-16,19:43,79.02328,4.33244,2477,MN_S5,station_end,
PS114_4-6,2018-07-16,20:01,79.02316,4.33306,2477,CTDOZE,station_start,
PS114_4-6,2018-07-16,21:00,79.02341,4.33127,2477,CTDOZE,at_depth,
PS114_4-6,2018-07-16,22:26,79.02407,4.33413,2473,CTDOZE,station_end,
PS114_4-7,2018-07-16,22:40,79.02415,4.33089,2474,ISPC,station_start,
PS114_4-7,2018-07-16,23:41,79.02458,4.32886,2474,ISPC,at_depth,
PS114_4-7,2018-07-17,00:22,79.025,4.32602,2474,ISPC,station_end,
PS114_5-1,2018-07-17,04:00,79.02314,4.26254,2512,MOOR,deployment_start,HG-IV-S-3
PS114_5-1,2018-07-17,05:43,79.02266,4.26179,2513,MOOR,deployment_end,HG-IV-S-3
PS114_6-1,2018-07-17,07:00,79.00021,4.3334,2522,MOOR,deployment_start,HG-IV-FEVI-38
PS114_6-1,2018-07-17,09:15,79.00034,4.33229,2522,MOOR,deployment_end,HG-IV-FEVI-38
PS114_7-1,2018-07-17,11:00,79.02305,4.40332,2450,MOOR,deployment_start,HG-IV-SWIPS-2018
PS114_7-1,2018-07-17,12:30,79.02333,4.4056,2460,MOOR,deployment_end,HG-IV-SWIPS-2018
PS114_8-1,2018-07-17,13:31,79.05019,4.33256,2451,TVMUC,station_start,
PS114_8-1,2018-07-17,14:44,79.05002,4.33298,2452,TVMUC,at_depth,
PS114_8-1,2018-07-17,15:34,79.05073,4.33291,2449,TVMUC,station_end,
PS114_9-1,2018-07-17,18:32,78.60577,5.03458,2350,CTDOZE,station_start,
PS114_9-1,2018-07-17,18:53,78.60667,5.04132,2347,CTDOZE,at_depth,
PS114_9-1,2018-07-17,19:22,78.60751,5.04655,2344,CTDOZE,station_end,
PS114_9-2,2018-07-17,19:35,78.60728,5.04553,2345,LOKI,station_start,
PS114_9-2,2018-07-17,20:13,78.60747,5.04503,2345,LOKI,at_depth,
PS114_9-2,2018-07-17,20:55,78.60732,5.04562,2345,LOKI,station_end,
PS114_9-3,2018-07-17,21:12,78.60751,5.04552,2345,MN_S5,station_start,
PS114_9-3,2018-07-17,22:10,78.60738,5.04842,2343,MN_S5,at_depth,
PS114_9-3,2018-07-17,23:32,78.60755,5.04405,2345,MN_S5,station_end,
PS114_9-4,2018-07-17,23:44,78.60738,5.04802,2344,CTDOZE,station_start,
PS114_9-4,2018-07-18,00:37,78.60735,5.04698,2344,CTDOZE,at_depth,
PS114_9-4,2018-07-18,01:43,78.60704,5.04929,2344,CTDOZE,station_end,
PS114_10-1,2018-07-18,06:13,79.01363,6.95728,1264,MOOR,retrieval_start,F4-S-2
PS114_10-1,2018-07-18,06:57,79.02098,6.94522,1277,MOOR,retrieval_end,F4-S-2
PS114_11-1,2018-07-18,07:45,79.00274,6.99258,1249,MOOR,retrieval_start,F4-17
PS114_11-1,2018-07-18,08:30,79.00824,6.98637,1261,MOOR,retrieval_end,F4-17
PS114_11-2,2018-07-18,08:42,79.00931,6.98582,1263,TVMUC,station_start,
PS114_11-2,2018-07-18,09:13,79.00937,6.98598,1262,TVMUC,at_depth,
PS114_11-2,2018-07-18,09:43,79.00933,6.98605,1262,TVMUC,station_end,
PS114_12-1,2018-07-18,10:11,79.01215,7.03545,1277,CTDOZE,station_start,
PS114_12-1,2018-07-18,10:41,79.01174,7.03459,1277,CTDOZE,at_depth,
PS114_12-1,2018-07-18,11:20,79.01181,7.0351,1277,CTDOZE,station_end,
PS114_12-2,2018-07-18,11:32,79.01211,7.03308,1277,LOKI,station_start,
PS114_12-2,2018-07-18,12:12,79.01193,7.03394,1277,LOKI,at_depth,
PS114_12-2,2018-07-18,12:53,79.01198,7.03305,1277,LOKI,station_end,
PS114_12-3,2018-07-18,13:06,79.01174,7.03538,1277,MN_S5,station_start,
PS114_12-3,2018-07-18,13:51,79.01183,7.03451,1277,MN_S5,at_depth,
PS114_12-3,2018-07-18,14:49,79.01196,7.0351,1278,MN_S5,station_end,
PS114_12-4,2018-07-18,15:04,79.01159,7.03477,1278,CTDOZE,station_start,
PS114_12-4,2018-07-18,15:35,79.0116,7.0331,1277,CTDOZE,at_depth,
PS114_12-4,2018-07-18,16:10,79.01202,7.03427,1278,CTDOZE,station_end,
PS114_13-1,2018-07-18,17:44,79.01824,8.00377,1101,OFOS,station_start,
PS114_13-1,2018-07-18,18:11,79.01851,8.01073,1097,OFOS,at_depth,
PS114_13-1,2018-07-18,18:42,79.01981,8.02262,1091,OFOS,station_end,
PS114_13-2,2018-07-18,18:57,79.0193,8.00708,1100,CTDOZE,station_start,
PS114_13-2,2018-07-18,19:25,79.01915,8.00755,1099,CTDOZE,at_depth,
PS114_13-2,2018-07-18,20:00,79.01903,8.00784,1099,CTDOZE,station_end,
PS114_14-1,2018-07-18,20:52,79.01783,8.32711,827,CTDOZE,station_start,
PS114_14-1,2018-07-18,21:14,79.01796,8.32657,827,CTDOZE,at_depth,
PS114_14-1,2018-07-18,21:46,79.018,8.32738,826,CTDOZE,station_end,
PS114_15-1,2018-07-18,22:39,79.01833,8.54183,395,CTDOZE,station_start,
PS114_15-1,2018-07-18,22:53,79.01845,8.5422,393,CTDOZE,at_depth,
PS114_15-1,2018-07-18,23:11,79.01813,8.54091,397,CTDOZE,station_end,
PS114_16-1,2018-07-19,00:17,78.98023,9.30124,217,CTDOZE,station_start,
PS114_16-1,2018-07-19,00:28,78.98044,9.3006,218,CTDOZE,at_depth,
PS114_16-1,2018-07-19,00:45,78.98028,9.299,218,CTDOZE,station_end,
PS114_17-1,2018-07-19,03:35,79.01147,6.95761,1259,CTDOZE,station_start,
PS114_17-1,2018-07-19,03:43,79.01132,6.95989,1260,CTDOZE,at_depth,
PS114_17-1,2018-07-19,04:00,79.01187,6.9616,1262,CTDOZE,station_end,
PS114_17-2,2018-07-19,04:59,79.01278,6.9604,1264,CTDOZE,station_start,
PS114_17-2,2018-07-19,05:24,79.01214,6.96302,1263,CTDOZE,at_depth,
PS114_17-2,2018-07-19,05:35,79.01245,6.96172,1263,CTDOZE,station_end,
PS114_17-3,2018-07-19,06:02,79.01189,6.96432,1263,MOOR,deployment_start,F4-S-3
PS114_17-3,2018-07-19,07:32,79.01185,6.96391,1262,MOOR,deployment_end,F4-S-3
PS114_18-1,2018-07-19,08:14,79.00027,7.00123,1246,MOOR,deployment_start,F4-18
PS114_18-1,2018-07-19,09:28,79.00038,7.00061,1245,MOOR,deployment_end,F4-18
PS114_19-1,2018-07-19,11:01,79.01164,7.03585,1277,MOOR,deployment_start,F4-W-1
PS114_19-1,2018-07-19,12:17,79.01154,7.03524,1277,MOOR,deployment_end,F4-W-1
PS114_20-1,2018-07-19,14:11,79.01886,5.6567,1999,CTDOZE,station_start,
PS114_20-1,2018-07-19,14:56,79.0206,5.64828,1987,CTDOZE,at_depth,
PS114_20-1,2018-07-19,15:52,79.02444,5.6254,1982,CTDOZE,station_end,
PS114_21-1,2018-07-19,21:05,78.66836,0.0116,1834,CTDOZE,station_start,
PS114_21-1,2018-07-19,21:27,78.66832,0.01122,1833,CTDOZE,at_depth,
PS114_21-1,2018-07-19,21:59,78.66857,0.01099,1835,CTDOZE,station_end,
PS114_22-1,2018-07-19,23:18,78.50071,-0.00286,2778,CTDOZE,station_start,
PS114_22-1,2018-07-19,23:54,78.5007,-0.00148,2777,CTDOZE,at_depth,
PS114_22-1,2018-07-20,00:28,78.50095,-0.00036,2777,CTDOZE,station_end,
PS114_23-1,2018-07-20,02:43,78.18921,0.00095,3053,CTDOZE,station_start,
PS114_23-1,2018-07-20,03:48,78.18773,0.00391,3054,CTDOZE,at_depth,
PS114_23-1,2018-07-20,05:12,78.18739,-0.00795,3055,CTDOZE,station_end,
PS114_23-2,2018-07-20,05:59,78.16925,-0.00451,3060,MOOR,retrieval_start,R1-1
PS114_23-2,2018-07-20,07:17,78.18234,0.00015,3055,MOOR,retrieval_end,R1-1
PS114_23-3,2018-07-20,07:37,78.18346,-0.00135,3055,LOKI,station_start,
PS114_23-3,2018-07-20,08:06,78.18348,-0.00018,3055,LOKI,at_depth,
PS114_23-3,2018-07-20,08:32,78.18316,-0.00116,3055,LOKI,station_end,
PS114_24-1,2018-07-20,09:59,78.33324,-0.0062,3009,CTDOZE,station_start,
PS114_24-1,2018-07-20,10:16,78.33328,-0.00821,3009,CTDOZE,at_depth,
PS114_24-1,2018-07-20,10:45,78.33301,-0.00793,3009,CTDOZE,station_end,
PS114_25-1,2018-07-20,13:09,78.83315,0.00157,2639,MOOR,retrieval_start,R2-1
PS114_25-1,2018-07-20,14:40,78.82862,-0.00355,2636,MOOR,retrieval_end,R2-1
PS114_25-2,2018-07-20,14:57,78.82921,-0.0104,2636,CTDOZE,station_start,
PS114_25-2,2018-07-20,15:53,78.82974,-0.02524,2636,CTDOZE,at_depth,
PS114_25-2,2018-07-20,17:08,78.83127,-0.05449,2633,CTDOZE,station_end,
PS114_25-3,2018-07-20,17:18,78.83126,-0.05712,2633,LOKI,station_start,
PS114_25-3,2018-07-20,17:48,78.83124,-0.06704,2630,LOKI,at_depth,
PS114_25-3,2018-07-20,18:21,78.83074,-0.08379,2627,LOKI,station_end,
PS114_26-1,2018-07-20,19:41,78.99865,0.00087,2595,CTDOZE,station_start,
PS114_26-1,2018-07-20,20:00,78.99886,-0.00028,2596,CTDOZE,at_depth,
PS114_26-1,2018-07-20,20:28,78.99946,-0.00029,2596,CTDOZE,station_end,
PS114_27-1,2018-07-20,22:15,79.16496,0.00964,2725,CTDOZE,station_start,
PS114_27-1,2018-07-20,22:34,79.16552,0.00627,2725,CTDOZE,at_depth,
PS114_27-1,2018-07-20,23:03,79.16575,0.00249,2725,CTDOZE,station_end,
PS114_28-1,2018-07-21,01:07,79.33579,0.05698,2892,CTDOZE,station_start,
PS114_28-1,2018-07-21,01:26,79.33485,0.04743,2893,CTDOZE,at_depth,
PS114_28-1,2018-07-21,01:56,79.33457,0.03458,2898,CTDOZE,station_end,
PS114_29-1,2018-07-21,04:02,79.50246,-0.10954,2820,CTDOZE,station_start,
PS114_29-1,2018-07-21,05:03,79.49474,-0.10009,2824,CTDOZE,at_depth,
PS114_29-1,2018-07-21,06:20,79.48865,-0.10631,2827,CTDOZE,station_end,
PS114_29-2,2018-07-21,07:35,79.49589,-0.00055,2824,MOOR,retrieval_start,R3-1
PS114_29-2,2018-07-21,10:00,79.4712,0.01159,2841,MOOR,retrieval_end,R3-1
PS114_29-3,2018-07-21,10:13,79.46948,0.00962,2842,LOKI,station_start,
PS114_29-3,2018-07-21,10:43,79.46498,0.00968,2845,LOKI,at_depth,
PS114_29-3,2018-07-21,11:17,79.46021,-0.00387,2849,LOKI,station_end,
PS114_29-4,2018-07-21,12:02,79.45136,0.00153,2858,TVMUC,station_start,
PS114_29-4,2018-07-21,12:56,79.44566,-0.01766,2864,TVMUC,at_depth,
PS114_29-4,2018-07-21,13:47,79.43911,-0.02956,2870,TVMUC,station_end,
PS114_30-1,2018-07-21,20:08,79.92624,3.06556,2598,OFOS,station_start,
PS114_30-1,2018-07-21,21:00,79.92706,3.09311,2586,OFOS,at_depth,
PS114_30-1,2018-07-21,21:05,79.92739,3.0946,2586,OFOS,profile_start,OFOS_HG-N5_transect
PS114_30-1,2018-07-21,22:34,79.93459,3.13614,2537,OFOS,profile_end,
PS114_30-1,2018-07-21,22:34,79.9346,3.13621,2569,OFOS,profile_start,track_continued
PS114_30-1,2018-07-22,00:30,79.94466,3.19467,2534,OFOS,profile_end,
PS114_30-1,2018-07-22,01:14,79.9452,3.19782,2532,OFOS,station_end,
PS114_31-1,2018-07-22,01:33,79.94513,3.19795,2532,CTDOZE,station_start,
PS114_31-1,2018-07-22,01:52,79.94514,3.1987,2532,CTDOZE,at_depth,
PS114_31-1,2018-07-22,02:30,79.94519,3.20057,2532,CTDOZE,station_end,
PS114_31-2,2018-07-22,04:06,79.92708,3.09338,2586,TVMUC,station_start,
PS114_31-2,2018-07-22,04:58,79.92714,3.09431,2586,TVMUC,at_depth,
PS114_31-2,2018-07-22,05:55,79.92987,3.08595,2588,TVMUC,station_end,
PS114_32-1,2018-07-22,08:18,79.73565,4.50244,2737,MOOR,retrieval_start,HG-N-FEVI-35
PS114_32-1,2018-07-22,09:31,79.72571,4.48895,2747,MOOR,retrieval_end,HG-N-FEVI-35
PS114_32-2,2018-07-22,09:36,79.72447,4.48508,2748,CTDOZE,station_start,
PS114_32-2,2018-07-22,10:26,79.7395,4.52573,2718,CTDOZE,at_depth,
PS114_32-2,2018-07-22,10:51,79.741,4.52256,2693,CTDOZE,station_end,
PS114_32-3,2018-07-22,11:02,79.74102,4.52069,2698,MOOR,deployment_start,HG-N-FEVI-37
PS114_32-3,2018-07-22,13:17,79.74143,4.52276,2688,MOOR,deployment_end,HG-N-FEVI-37
PS114_32-4,2018-07-22,13:45,79.72152,4.52906,2796,LOKI,station_start,
PS114_32-4,2018-07-22,15:14,79.73272,4.55127,2768,LOKI,station_end,
PS114_32-5,2018-07-22,15:34,79.72853,4.60696,2691,MN_S5,station_start,
PS114_32-5,2018-07-22,16:36,79.7306,4.61878,2681,MN_S5,at_depth,
PS114_32-5,2018-07-22,17:47,79.73471,4.63445,2648,MN_S5,station_end,
PS114_32-6,2018-07-22,18:00,79.73809,4.62633,2631,CTDOZE,station_start,
PS114_32-6,2018-07-22,18:55,79.73905,4.6502,2619,CTDOZE,at_depth,
PS114_32-6,2018-07-22,20:20,79.73884,4.65951,2619,CTDOZE,station_end,
PS114_32-7,2018-07-22,20:50,79.7382,4.61799,2636,ISPC,station_start,
PS114_32-7,2018-07-22,21:25,79.738,4.61824,2638,ISPC,at_depth,
PS114_32-7,2018-07-22,21:48,79.7381,4.61796,2637,ISPC,station_end,
PS114_32-8,2018-07-22,22:04,79.73757,4.61883,2640,TVMUC,station_start,
PS114_32-8,2018-07-22,22:54,79.73759,4.61863,2640,TVMUC,at_depth,
PS114_32-8,2018-07-22,23:53,79.73872,4.61097,2636,TVMUC,station_end,
PS114_33-1,2018-07-23,01:05,79.59937,5.16467,2789,CTDOZE,station_start,
PS114_33-1,2018-07-23,01:25,79.59882,5.1659,2788,CTDOZE,at_depth,
PS114_33-1,2018-07-23,01:56,79.59858,5.1662,2788,CTDOZE,station_end,
PS114_33-2,2018-07-23,02:08,79.59897,5.16649,2788,TVMUC,station_start,
PS114_33-2,2018-07-23,03:00,79.59892,5.16659,2787,TVMUC,at_depth,
PS114_33-2,2018-07-23,04:02,79.59821,5.16743,2787,TVMUC,station_end,
PS114_33-3,2018-07-23,04:53,79.59815,5.1668,2787,OFOS,station_start,
PS114_33-3,2018-07-23,05:48,79.5981,5.16888,2786,OFOS,at_depth,
PS114_33-3,2018-07-23,05:49,79.59821,5.16875,2786,OFOS,profile_start,
PS114_33-3,2018-07-23,09:13,79.56779,5.25628,2658,OFOS,profile_end,
PS114_33-3,2018-07-23,10:06,79.56288,5.26943,2651,OFOS,station_end,
PS114_34-1,2018-07-23,23:57,81.1627,-0.06595,2717,CTDOZE,station_start,
PS114_34-1,2018-07-24,00:16,81.16233,-0.06996,2718,CTDOZE,at_depth,
PS114_34-1,2018-07-24,00:44,81.16126,-0.079,2720,CTDOZE,station_end,
PS114_35-1,2018-07-24,03:41,81.01071,0.00167,2769,CTDOZE,station_start,
PS114_35-1,2018-07-24,04:01,81.01192,-0.00749,2772,CTDOZE,at_depth,
PS114_35-1,2018-07-24,04:32,81.01345,-0.01398,2775,CTDOZE,station_end,
PS114_36-1,2018-07-24,10:09,80.85286,-0.12266,3176,MOOR,retrieval_start,R5-1
PS114_36-1,2018-07-24,11:19,80.85368,-0.14885,3184,MOOR,retrieval_end,R5-1
PS114_36-2,2018-07-24,11:45,80.85266,-0.13071,3178,CTDOZE,station_start,
PS114_36-2,2018-07-24,12:48,80.85517,-0.1402,3181,CTDOZE,at_depth,
PS114_36-2,2018-07-24,14:31,80.85619,-0.14264,3181,CTDOZE,station_end,
PS114_36-3,2018-07-24,14:40,80.85623,-0.14167,3181,LOKI,station_start,
PS114_36-3,2018-07-24,15:12,80.85688,-0.14519,3182,LOKI,at_depth,
PS114_36-3,2018-07-24,15:44,80.85999,-0.15345,3183,LOKI,station_end,
PS114_36-4,2018-07-24,15:59,80.86034,-0.15073,3181,CTDOZE,station_start,
PS114_36-4,2018-07-24,16:10,80.86067,-0.15724,3183,CTDOZE,at_depth,
PS114_36-4,2018-07-24,16:30,80.86114,-0.15885,3184,CTDOZE,station_end,
PS114_36-5,2018-07-24,17:33,80.86299,-0.12787,3169,CTDOZE,station_start,
PS114_36-5,2018-07-24,17:54,80.86339,-0.12763,3169,CTDOZE,at_depth,
PS114_36-5,2018-07-24,18:07,80.86352,-0.1273,3169,CTDOZE,station_end,
PS114_36-6,2018-07-24,18:27,80.86339,-0.12791,3169,MN_S5,station_start,
PS114_36-6,2018-07-24,19:01,80.8635,-0.12722,3169,MN_S5,at_depth,
PS114_36-6,2018-07-24,19:51,80.86468,-0.12454,3168,MN_S5,station_end,
PS114_37-1,2018-07-24,21:44,80.66881,0.02064,3251,CTDOZE,station_start,
PS114_37-1,2018-07-24,22:05,80.66742,0.01374,3251,CTDOZE,at_depth,
PS114_37-1,2018-07-24,22:42,80.66381,0.01379,3251,CTDOZE,station_end,
PS114_38-1,2018-07-25,00:41,80.48768,0.04481,3221,CTDOZE,station_start,
PS114_38-1,2018-07-25,01:00,80.48761,0.04423,3221,CTDOZE,at_depth,
PS114_38-1,2018-07-25,01:35,80.48909,0.03861,3222,CTDOZE,station_end,
PS114_39-1,2018-07-25,03:17,80.33443,0.00059,2465,CTDOZE,station_start,
PS114_39-1,2018-07-25,03:36,80.33449,0.00727,2474,CTDOZE,at_depth,
PS114_39-1,2018-07-25,04:10,80.3386,0.01542,2516,CTDOZE,station_end,
PS114_40-1,2018-07-25,09:31,80.15486,0.26581,3031,LOKI,station_start,
PS114_40-1,2018-07-25,10:00,80.15231,0.28573,3033,LOKI,at_depth,
PS114_40-1,2018-07-25,10:31,80.14844,0.30472,3049,LOKI,station_end,
PS114_40-2,2018-07-25,12:48,80.16488,0.16128,3076,MOOR,retrieval_start,R4-1
PS114_40-2,2018-07-25,14:31,80.15754,0.15544,3097,MOOR,retrieval_end,R4-1
PS114_40-3,2018-07-25,14:43,80.15785,0.15343,3096,CTDOZE,station_start,
PS114_40-3,2018-07-25,15:46,80.15918,0.13866,3105,CTDOZE,at_depth,
PS114_40-3,2018-07-25,17:05,80.1604,0.14877,3087,CTDOZE,station_end,
PS114_41-1,2018-07-25,21:35,79.83179,-0.00722,2786,CTDOZE,station_start,
PS114_41-1,2018-07-25,21:55,79.83128,-0.00911,2786,CTDOZE,at_depth,
PS114_41-1,2018-07-25,22:25,79.83055,-0.01,2787,CTDOZE,station_end,
PS114_42-1,2018-07-26,00:12,79.6633,-0.01894,2819,CTDOZE,station_start,
PS114_42-1,2018-07-26,00:31,79.6645,-0.0184,2819,CTDOZE,at_depth,
PS114_42-1,2018-07-26,01:06,79.66778,-0.0155,2817,CTDOZE,station_end,
PS114_43-1,2018-07-26,12:25,78.82832,-2.79569,2592,MOOR,retrieval_start,HG-EGC-4
PS114_43-1,2018-07-26,13:26,78.82419,-2.79069,2593,MOOR,retrieval_end,HG-EGC-4
PS114_43-2,2018-07-26,13:38,78.82325,-2.79264,2593,CTDOZE,station_start,
PS114_43-2,2018-07-26,14:32,78.81984,-2.77895,2595,CTDOZE,at_depth,
PS114_43-2,2018-07-26,16:05,78.8173,-2.77539,2596,CTDOZE,station_end,
PS114_43-3,2018-07-26,16:16,78.81703,-2.77456,2596,TVMUC,station_start,
PS114_43-3,2018-07-26,17:03,78.81506,-2.76543,2599,TVMUC,at_depth,
PS114_43-3,2018-07-26,17:56,78.81338,-2.76347,2600,TVMUC,station_end,
PS114_43-4,2018-07-26,18:12,78.81798,-2.76866,2598,CTDOZE,station_start,
PS114_43-4,2018-07-26,18:32,78.81758,-2.76917,2598,CTDOZE,at_depth,
PS114_43-4,2018-07-26,19:05,78.81699,-2.76948,2598,CTDOZE,station_end,
PS114_44-1,2018-07-26,20:20,78.88582,-3.0452,2513,OFOS,station_start,
PS114_44-1,2018-07-26,21:09,78.88501,-3.04946,2512,OFOS,at_depth,
PS114_44-1,2018-07-26,21:09,78.88496,-3.04972,2511,OFOS,profile_start,OFOS_HG-EGC_transect
PS114_44-1,2018-07-27,00:26,78.86247,-3.12284,2501,OFOS,profile_end,
PS114_44-1,2018-07-27,01:09,78.85938,-3.13857,2496,OFOS,station_end,
PS114_45-1,2018-07-27,03:39,78.93368,-4.64509,1551,TVMUC,station_start,
PS114_45-1,2018-07-27,04:11,78.93399,-4.64298,1553,TVMUC,at_depth,
PS114_45-1,2018-07-27,04:44,78.93545,-4.63195,1562,TVMUC,station_end,
PS114_46-1,2018-07-27,06:52,78.99286,-5.44538,990,CTDOZE,station_start,
PS114_46-1,2018-07-27,07:16,78.99264,-5.43596,997,CTDOZE,at_depth,
PS114_46-1,2018-07-27,07:43,78.99338,-5.41911,1009,CTDOZE,station_end,
PS114_46-2,2018-07-27,07:54,78.99541,-5.41371,1018,LOKI,station_start,
PS114_46-2,2018-07-27,08:29,78.99943,-5.39929,1037,LOKI,at_depth,
PS114_46-2,2018-07-27,09:10,79.00328,-5.38504,1054,LOKI,station_end,
PS114_46-3,2018-07-27,09:54,78.98953,-5.42076,1003,CTDOZE,station_start,
PS114_46-3,2018-07-27,10:01,78.99013,-5.41778,1005,CTDOZE,at_depth,
PS114_46-3,2018-07-27,10:11,78.99148,-5.41292,1010,CTDOZE,station_end,
PS114_46-4,2018-07-27,11:08,78.99957,-5.38643,1046,CTDOZE,station_start,
PS114_46-4,2018-07-27,11:28,79.00324,-5.37036,1065,CTDOZE,at_depth,
PS114_46-4,2018-07-27,11:37,79.00464,-5.36179,1073,CTDOZE,station_end,
PS114_46-5,2018-07-27,11:52,79.0045,-5.35328,1079,ICE,station_start,
PS114_46-5,2018-07-27,12:04,79.00621,-5.34447,1087,ICE,station_end,
PS114_46-6,2018-07-27,12:31,78.98924,-5.4377,992,MOOR,deployment_start,HG-EGC-5
PS114_46-6,2018-07-27,13:36,78.99554,-5.3924,1032,MOOR,deployment_end,HG-EGC-5
PS114_46-7,2018-07-27,14:01,79.00868,-5.35002,1085,MN_S5,station_start,
PS114_46-7,2018-07-27,14:42,79.01177,-5.32439,1108,MN_S5,at_depth,
PS114_46-7,2018-07-27,15:30,79.01251,-5.29335,1132,MN_S5,station_end,
PS114_46-8,2018-07-27,15:39,79.01227,-5.28788,1136,CTDOZE,station_start,
PS114_46-8,2018-07-27,15:45,79.01244,-5.28514,1139,CTDOZE,at_depth,
PS114_46-8,2018-07-27,15:57,79.01299,-5.28143,1142,CTDOZE,station_end,
PS114_46-9,2018-07-27,16:28,79.00674,-5.47996,995,TVMUC,station_start,
PS114_46-9,2018-07-27,16:51,79.0078,-5.46967,1003,TVMUC,at_depth,
PS114_46-9,2018-07-27,17:14,79.00886,-5.46013,1012,TVMUC,station_end,
PS114_47-1,2018-07-28,13:23,79.72009,-17.67222,535,MOOR,retrieval_start,79N7-1
PS114_47-1,2018-07-28,13:48,79.71903,-17.6729,467,MOOR,retrieval_end,79N7-1
PS114_48-1,2018-07-28,17:47,79.66958,-16.89366,264,MOOR,retrieval_start,79N6-1
